,Location Finding,File Sharing,Report Syncing,Chat Protocol,Map Access,Hardware Platform,Connectivity,Database,Architectural Pattern,Data Exchange Format,ENB,Risk,Optimal
1,radio triangulation,OpenIntent,Implicit,XMPP (Open Fire),Preloaded (ESRI),Droid (Motorola),Wifi,MySQL,Client-Server,Compressed XML,16.358061076265706,1.0,Yes
2,radio triangulation,OpenIntent,Implicit,In house,Cache on server,Droid (Motorola),Wifi,sqLite,Peer-to-peer,Compressed XML,14.877288948962622,0.9996,Yes
3,radio triangulation,OpenIntent,Implicit,In house,Cache on server,Droid (Motorola),3G on Droid,sqLite,Peer-to-peer,Compressed XML,14.829795266006835,0.9992,Yes
4,radio triangulation,OpenIntent,Implicit,In house,Cache on server,Droid (Motorola),Bluetooth,sqLite,Peer-to-peer,Compressed XML,14.754201051776771,0.9991,Yes
5,radio triangulation,OpenIntent,Implicit,In house,Cache on server,Droid (Motorola),Bluetooth,sqLite,Push-based,Compressed XML,14.97068844843313,0.9998,Yes
6,radio triangulation,OpenIntent,Implicit,In house,Preloaded (ESRI),Droid (Motorola),3G on Droid,sqLite,Peer-to-peer,Compressed XML,15.257035396682221,0.9999,Yes
7,radio triangulation,In house,Implicit,In house,Cache on server,Droid (Motorola),Wifi,MySQL,Peer-to-peer,Compressed XML,14.365837530565084,0.999,Yes
8,radio triangulation,In house,Implicit,In house,Cache on server,Droid (Motorola),Wifi,sqLite,Peer-to-peer,Compressed XML,14.225787049994006,0.9968,Yes
9,radio triangulation,In house,Implicit,In house,Cache on server,Droid (Motorola),Bluetooth,sqLite,Peer-to-peer,Compressed XML,14.112780355434658,0.9961,Yes
10,radio triangulation,In house,Implicit,In house,Cache on server,Droid (Motorola),Bluetooth,sqLite,Push-based,Compressed XML,14.298903284093036,0.9977,Yes
12,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Wifi,sqLite,Peer-to-peer,Unformatted data,12.331732128617514,1.0,No
13,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Wifi,sqLite,Client-Server,XML,13.074746030914751,1.0,No
14,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Wifi,sqLite,Client-Server,Compressed XML,13.157912039243415,1.0,No
15,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Wifi,sqLite,Client-Server,Unformatted data,13.006397788747663,1.0,No
16,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Wifi,sqLite,Push-based,XML,12.61472330995463,1.0,No
17,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Wifi,sqLite,Push-based,Compressed XML,12.704372986703994,1.0,No
