Optimisation Analysis, ,,,,,,
Objective ,FraudDetectionBenefit,,,,,,
Objective ,MinInvestigationLoad,,,,,,
SolutionSpace ,24,,,,,,
Minimal SolutionSet ,16,,,,,,
Shortlisted ,4,,,,,,
Nbr. Variables ,31,,,,,,
Nbr. Parameters ,19,,,,,,
Nbr. Decisions ,4,,,,,,
Runtime(s) ,0,,,,,,
,,,,,,,
ID,blocking policy,processing type,fraud detection method,alert threshold,FraudDetectionBenefit,InvestigationLoad,Optimal
1,block first,continuous,rule-based, ,402798.9504,82708.60817,Yes
2,block first,continuous,classifier,medium,402516.3236,52139.0657,Yes
3,block first,continuous,classifier,low,387393.6623,22467.30617,Yes
4,block first,continuous,classifier,high,414087.0761,232479.2883,Yes
5,investigate first,batch,classifier,high,-23291.85084,446817.4127,No
6,investigate first,continuous,classifier,low,241341.9906,22467.30617,No
7,investigate first,batch,classifier,low,-140888.072,22661.26483,No
8,investigate first,batch,rule-based, ,-45797.14338,41585.9299,No
9,investigate first,continuous,classifier,high,268035.4044,232479.2883,No
10,block first,batch,rule-based, ,100254.5283,41585.9299,No
11,investigate first,batch,classifier,medium,-73984.27365,51709.14538,No
12,block first,batch,classifier,low,5163.599613,22661.26483,No
13,investigate first,continuous,rule-based, ,256747.2787,82708.60817,No
14,investigate first,continuous,classifier,medium,256464.6519,52139.0657,No
15,block first,batch,classifier,medium,72067.398,51709.14538,No
16,block first,batch,classifier,high,122759.8208,446817.4127,No
,,,,,,,
Information Value Analysis, ,,,,,,
Objective,FraudDetectionBenefit,,,,,,
EVTPI,219.9046031,,,,,,
,,,,,,,
Parameter,EVPPI,,,,,,
NbrAccounts,-1.16E-10,,,,,,
CompromisedAccountRatio,-1.16E-10,,,,,,
AverageFraudValue,122.3932133,,,,,,
NbrFraudPerCompromisedAccountPerDay,0.330673833,,,,,,
InvestigationDelay,0,,,,,,
ContinuousAlertThreshold[high],0.918568323,,,,,,
ContinuousAlertThreshold[medium],1.564809853,,,,,,
ContinuousAlertThreshold[low],1.16E-10,,,,,,
BatchAlertThreshold[high],3.49E-10,,,,,,
BatchAlertThreshold[medium],5.82E-11,,,,,,
BatchAlertThreshold[low],0,,,,,,
CostPerAlert,0,,,,,,
ContinuousClassierTrueNegativeRate[high],-1.16E-10,,,,,,
ContinuousClassierTrueNegativeRate[medium],0,,,,,,
ContinuousClassierTrueNegativeRate[low],1.16E-10,,,,,,
BatchClassifierTrueNegativeRate[high],-1.16E-10,,,,,,
BatchClassifierTrueNegativeRate[medium],0.598185103,,,,,,
BatchClassifierTrueNegativeRate[low],-4.07E-10,,,,,,
NbrLegitTransactionsPerAccountPerDay,-5.82E-11,,,,,,
