Optimisation Analysis, ,,,,,,,,,,,,
Objective ,MaxENB,,,,,,,,,,,,
Objective ,MinRisk,,,,,,,,,,,,
SolutionSpace ,6912,,,,,,,,,,,,
Minimal SolutionSet ,6912,,,,,,,,,,,,
Shortlisted ,15,,,,,,,,,,,,
Nbr. Variables ,117,,,,,,,,,,,,
Nbr. Parameters ,137,,,,,,,,,,,,
Nbr. Decisions ,10,,,,,,,,,,,,
Runtime(s) ,111,,,,,,,,,,,,
,,,,,,,,,,,,,
ID,Location Finding,File Sharing,Report Syncing,Chat Protocol,Map Access,Hardware Platform,Connectivity,Database,Architectural Pattern,Data Exchange Format,ENB,Risk,Optimal
1,radio triangulation,OpenIntent,Implicit,XMPP (Open Fire),Preloaded (ESRI),Droid (Motorola),Wifi,MySQL,Client-Server,Compressed XML,16.37529833,0.9997,Yes
2,radio triangulation,OpenIntent,Implicit,XMPP (Open Fire),Preloaded (ESRI),Nexus I (HTC),3G on Droid,MySQL,Client-Server,Unformatted data,15.96290754,0.5634,Yes
3,radio triangulation,OpenIntent,Explicit,XMPP (Open Fire),Preloaded (ESRI),Nexus I (HTC),3G on Droid,MySQL,Client-Server,Unformatted data,15.1679976,0.039,Yes
4,radio triangulation,OpenIntent,Implicit,XMPP (Open Fire),Preloaded (ESRI),Droid (Motorola),3G on Droid,MySQL,Client-Server,XML,16.24388763,0.9863,Yes
5,radio triangulation,OpenIntent,Implicit,XMPP (Open Fire),Preloaded (ESRI),Droid (Motorola),3G on Droid,MySQL,Client-Server,Compressed XML,16.32688836,0.9983,Yes
6,radio triangulation,OpenIntent,Implicit,XMPP (Open Fire),Preloaded (ESRI),Droid (Motorola),Wifi,MySQL,Client-Server,XML,16.2922976,0.9961,Yes
7,radio triangulation,OpenIntent,Implicit,XMPP (Open Fire),Preloaded (ESRI),Nexus I (HTC),3G on Nexus I,MySQL,Client-Server,Unformatted data,15.79036997,0.4258,Yes
8,radio triangulation,OpenIntent,Implicit,XMPP (Open Fire),Preloaded (ESRI),Nexus I (HTC),3G on Droid,MySQL,Push-based,Unformatted data,15.50738273,0.417,Yes
9,radio triangulation,OpenIntent,Implicit,XMPP (Open Fire),Preloaded (ESRI),Droid (Motorola),3G on Nexus I,MySQL,Client-Server,Unformatted data,15.99582951,0.7475,Yes
10,radio triangulation,OpenIntent,Explicit,XMPP (Open Fire),Preloaded (ESRI),Nexus I (HTC),3G on Droid,MySQL,Client-Server,XML,15.24351815,0.06,Yes
11,radio triangulation,OpenIntent,Explicit,XMPP (Open Fire),Preloaded (ESRI),Nexus I (HTC),3G on Droid,MySQL,Client-Server,Compressed XML,15.32651889,0.1079,Yes
12,radio triangulation,OpenIntent,Implicit,XMPP (Open Fire),Preloaded (ESRI),Droid (Motorola),Wifi,MySQL,Client-Server,Unformatted data,16.21677705,0.9429,Yes
13,radio triangulation,OpenIntent,Implicit,XMPP (Open Fire),Preloaded (ESRI),Droid (Motorola),3G on Droid,MySQL,Client-Server,Unformatted data,16.16836707,0.8782,Yes
14,radio triangulation,OpenIntent,Implicit,XMPP (Open Fire),Preloaded (ESRI),Nexus I (HTC),Wifi,MySQL,Client-Server,Unformatted data,16.01131751,0.7632,Yes
15,radio triangulation,OpenIntent,Explicit,XMPP (Open Fire),Preloaded (ESRI),Droid (Motorola),3G on Droid,MySQL,Client-Server,Unformatted data,15.37345714,0.1928,Yes
16,radio triangulation,OpenIntent,Explicit,In house,Cache on server,Droid (Motorola),3G on Droid,sqLite,Peer-to-peer,Compressed XML,14.0351389,1,No
17,radio triangulation,In house,Implicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Bluetooth,sqLite,Push-based,Compressed XML,13.22311029,1,No
18,GPS,OpenIntent,Explicit,In house,On Demand (Google),Droid (Motorola),Bluetooth,MySQL,Client-Server,XML,13.0374131,1,No
19,GPS,OpenIntent,Explicit,In house,Cache on server,Nexus I (HTC),Wifi,sqLite,Push-based,XML,13.51626715,1,No
20,radio triangulation,In house,Implicit,In house,On Demand (Google),Droid (Motorola),3G on Nexus I,MySQL,Client-Server,Unformatted data,13.50254399,1,No
21,radio triangulation,OpenIntent,Explicit,XMPP (Open Fire),Preloaded (ESRI),Nexus I (HTC),3G on Droid,sqLite,Peer-to-peer,Unformatted data,14.36382679,1,No
22,radio triangulation,In house,Explicit,In house,On Demand (Google),Droid (Motorola),Bluetooth,MySQL,Client-Server,Compressed XML,12.963031,1,No
23,GPS,In house,Implicit,In house,Cache on server,Droid (Motorola),Bluetooth,sqLite,Peer-to-peer,XML,13.53185525,1,No
24,GPS,OpenIntent,Explicit,In house,Preloaded (ESRI),Droid (Motorola),3G on Nexus I,MySQL,Push-based,Unformatted data,13.99177361,0.9976,No
25,radio triangulation,OpenIntent,Explicit,XMPP (Open Fire),Preloaded (ESRI),Nexus I (HTC),3G on Nexus I,sqLite,Peer-to-peer,XML,14.26680977,1,No
26,GPS,OpenIntent,Implicit,XMPP (Open Fire),Cache on server,Nexus I (HTC),3G on Droid,sqLite,Peer-to-peer,Unformatted data,14.23754105,1,No
27,radio triangulation,In house,Implicit,XMPP (Open Fire),Preloaded (ESRI),Droid (Motorola),3G on Nexus I,sqLite,Client-Server,XML,15.28649977,0.7606,No
28,radio triangulation,OpenIntent,Implicit,XMPP (Open Fire),Cache on server,Droid (Motorola),Wifi,MySQL,Push-based,Unformatted data,15.33113062,1,No
29,radio triangulation,In house,Explicit,In house,Preloaded (ESRI),Droid (Motorola),Bluetooth,sqLite,Peer-to-peer,XML,13.65814099,1,No
30,radio triangulation,OpenIntent,Explicit,In house,Cache on server,Droid (Motorola),3G on Droid,sqLite,Push-based,XML,14.16439077,1,No
31,radio triangulation,In house,Explicit,In house,Cache on server,Nexus I (HTC),Wifi,sqLite,Push-based,Compressed XML,13.44188505,1,No
32,radio triangulation,In house,Implicit,XMPP (Open Fire),Preloaded (ESRI),Droid (Motorola),3G on Droid,sqLite,Client-Server,Unformatted data,15.38351679,0.7113,No
33,GPS,In house,Explicit,XMPP (Open Fire),Preloaded (ESRI),Nexus I (HTC),Bluetooth,MySQL,Push-based,XML,13.57280049,1,No
34,radio triangulation,In house,Explicit,XMPP (Open Fire),Cache on server,Droid (Motorola),3G on Nexus I,sqLite,Peer-to-peer,Unformatted data,13.31817025,1,No
35,GPS,OpenIntent,Implicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Bluetooth,sqLite,Peer-to-peer,Compressed XML,13.16824052,1,No
36,GPS,In house,Implicit,In house,Cache on server,Droid (Motorola),Wifi,sqLite,Client-Server,Compressed XML,14.40670527,1,No
37,GPS,In house,Implicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Bluetooth,MySQL,Client-Server,Unformatted data,13.16543315,1,No
38,radio triangulation,In house,Explicit,In house,Preloaded (ESRI),Droid (Motorola),Wifi,sqLite,Client-Server,Compressed XML,14.53299101,0.9767,No
39,GPS,OpenIntent,Implicit,In house,Preloaded (ESRI),Nexus I (HTC),3G on Nexus I,MySQL,Push-based,Compressed XML,14.73974529,0.9997,No
40,GPS,OpenIntent,Implicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Bluetooth,sqLite,Push-based,XML,13.29749239,1,No
41,radio triangulation,In house,Implicit,In house,Preloaded (ESRI),Nexus I (HTC),3G on Droid,MySQL,Push-based,Compressed XML,14.75490004,0.8486,No
42,radio triangulation,In house,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),Bluetooth,sqLite,Push-based,Unformatted data,12.47513861,1,No
43,radio triangulation,In house,Implicit,XMPP (Open Fire),Cache on server,Nexus I (HTC),3G on Droid,sqLite,Push-based,Unformatted data,14.29241083,1,No
44,GPS,In house,Implicit,In house,On Demand (Google),Droid (Motorola),Wifi,sqLite,Push-based,Unformatted data,12.64049927,1,No
45,radio triangulation,OpenIntent,Explicit,In house,On Demand (Google),Nexus I (HTC),3G on Nexus I,MySQL,Peer-to-peer,Unformatted data,12.482854,1,No
46,radio triangulation,In house,Implicit,In house,On Demand (Google),Nexus I (HTC),3G on Droid,MySQL,Peer-to-peer,XML,12.87736517,1,No
47,radio triangulation,OpenIntent,Implicit,In house,On Demand (Google),Droid (Motorola),3G on Droid,sqLite,Push-based,Unformatted data,13.73162024,1,No
48,GPS,OpenIntent,Implicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),3G on Nexus I,MySQL,Push-based,Compressed XML,13.42001086,1,No
49,radio triangulation,In house,Implicit,In house,Cache on server,Nexus I (HTC),3G on Droid,MySQL,Client-Server,Compressed XML,14.78030322,1,No
50,radio triangulation,In house,Explicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),3G on Droid,MySQL,Client-Server,XML,13.21823927,1,No
51,GPS,OpenIntent,Implicit,In house,Preloaded (ESRI),Nexus I (HTC),3G on Droid,MySQL,Push-based,XML,14.82928213,0.9995,No
