Optimisation Analysis 
============================ 

Objective: 		MaxExpectedUtility
Objective: 		MinCost
SolutionSpace: 			1024
Evaluated: 			1024
Shortlisted: 			30
Runtime(s): 			7

ID	Order Reassignment	Forced Order Completion	Order Persistence Strategy	Order Segmentation	Hung Order Recovery	Failed Order Notification	Order Tracking	Available User Information	Order Chunking	Order Bundling	ExpectedUtility	Cost	Optimal
1	Current: not possible to reassign order	Current: not possible to force order completion	Store as soon as received	Orders are segmented	Current: no order retry	User notified of failed order	Current: order level	Current: no link to user info	Order Chunking	No Order Bundling	-67.53470171330225	3669.4772368658223	Yes
2	Current: not possible to reassign order	Current: not possible to force order completion	Store as soon as received	Orders are segmented	Allow Order Retry	User notified of failed order	Current: order level	Current: no link to user info	Order Chunking	No Order Bundling	-65.93470171330243	3869.553535150431	Yes
3	Allow Order Reassignment	Allow Forced Order Completion	Current: store when processed	Orders are segmented	Allow Order Retry	Current: no notification	Granule-level order tracking	Current: no link to user info	Order Chunking	No Order Bundling	-67.87692393552432	2182.333004837933	Yes
4	Allow Order Reassignment	Allow Forced Order Completion	Current: store when processed	Orders are segmented	Allow Order Retry	User notified of failed order	Current: order level	Link to user information	Order Chunking	No Order Bundling	-68.0635906021912	1510.8318803237555	Yes
5	Allow Order Reassignment	Allow Forced Order Completion	Store as soon as received	Orders are segmented	Allow Order Retry	User notified of failed order	Current: order level	Current: no link to user info	Order Chunking	No Order Bundling	-62.13470171330243	4469.897981054406	Yes
6	Current: not possible to reassign order	Allow Forced Order Completion	Store as soon as received	Orders are segmented	Allow Order Retry	Current: no notification	Current: order level	Current: no link to user info	Order Chunking	No Order Bundling	-66.15692393552453	3769.708552855243	Yes
7	Allow Order Reassignment	Allow Forced Order Completion	Current: store when processed	Orders are segmented	Allow Order Retry	User notified of failed order	Granule-level order tracking	Current: no link to user info	Order Chunking	No Order Bundling	-67.65070171330234	2482.3012439529043	Yes
8	Current: not possible to reassign order	Allow Forced Order Completion	Current: store when processed	Orders are segmented	Allow Order Retry	Current: no notification	Current: order level	Current: no link to user info	Order Chunking	No Order Bundling	-72.20692393552493	600.204573675498	Yes
9	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Orders are segmented	Current: no order retry	User notified of failed order	Current: order level	Current: no link to user info	Order Chunking	No Order Bundling	-73.57470171330232	499.97325768606515	Yes
10	Allow Order Reassignment	Allow Forced Order Completion	Current: store when processed	Orders are segmented	Allow Order Retry	User notified of failed order	Current: order level	Current: no link to user info	Order Chunking	No Order Bundling	-68.17470171330217	1300.3940018746391	Yes
11	Current: not possible to reassign order	Allow Forced Order Completion	Store as soon as received	Orders are segmented	Allow Order Retry	User notified of failed order	Current: order level	Current: no link to user info	Order Chunking	No Order Bundling	-63.93470171330243	4069.6767919702	Yes
12	Allow Order Reassignment	Allow Forced Order Completion	Current: store when processed	Orders are segmented	Allow Order Retry	Current: no notification	Granule-level order tracking	Link to user information	Order Chunking	No Order Bundling	-67.82136837996889	2392.7708832870617	Yes
13	Allow Order Reassignment	Allow Forced Order Completion	Store as soon as received	Orders are segmented	Allow Order Retry	User notified of failed order	Granule-level order tracking	Current: no link to user info	Order Chunking	No Order Bundling	-61.63470171330243	5651.805223132617	Yes
14	Current: not possible to reassign order	Allow Forced Order Completion	Current: store when processed	Orders are segmented	Current: no order retry	User notified of failed order	Current: order level	Current: no link to user info	Order Chunking	No Order Bundling	-71.57470171330233	700.0965145058651	Yes
15	Allow Order Reassignment	Allow Forced Order Completion	Store as soon as received	Orders are segmented	Allow Order Retry	User notified of failed order	Current: order level	Link to user information	Order Chunking	No Order Bundling	-62.023590602191106	4680.335859503525	Yes
16	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Orders are segmented	Current: no order retry	Current: no notification	Current: order level	Current: no link to user info	Order Chunking	No Order Bundling	-75.80692393552441	200.00501857110692	Yes
17	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Orders are segmented	Allow Order Retry	User notified of failed order	Current: order level	Current: no link to user info	Order Chunking	No Order Bundling	-71.97470171330234	700.0495559706578	Yes
18	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Current: no order retry	Current: no notification	Current: order level	Current: no link to user info	Order Chunking	No Order Bundling	-81.80692393552431	0.0	Yes
19	Allow Order Reassignment	Current: not possible to force order completion	Store as soon as received	Orders are segmented	Allow Order Retry	Current: no notification	Current: order level	Current: no link to user info	Order Chunking	No Order Bundling	-65.15692393552449	3969.806485119621	Yes
20	Allow Order Reassignment	Current: not possible to force order completion	Current: store when processed	Orders are segmented	Allow Order Retry	Current: no notification	Current: order level	Current: no link to user info	Order Chunking	No Order Bundling	-71.20692393552504	800.302505939876	Yes
21	Allow Order Reassignment	Allow Forced Order Completion	Store as soon as received	Orders are segmented	Allow Order Retry	User notified of failed order	Granule-level order tracking	Link to user information	Order Chunking	No Order Bundling	-61.62359060219087	5862.243101581772	Yes
22	Allow Order Reassignment	Allow Forced Order Completion	Current: store when processed	Orders are segmented	Allow Order Retry	User notified of failed order	Granule-level order tracking	Link to user information	Order Chunking	No Order Bundling	-67.63959060219123	2692.7391224020253	Yes
23	Allow Order Reassignment	Current: not possible to force order completion	Current: store when processed	Orders are segmented	Allow Order Retry	User notified of failed order	Current: order level	Current: no link to user info	Order Chunking	No Order Bundling	-68.97470171330234	1100.2707450548378	Yes
24	Current: not possible to reassign order	Allow Forced Order Completion	Store as soon as received	Orders are segmented	Current: no order retry	User notified of failed order	Current: order level	Current: no link to user info	Order Chunking	No Order Bundling	-65.53470171330233	3869.6004936856084	Yes
25	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Orders are segmented	Allow Order Retry	Current: no notification	Current: order level	Current: no link to user info	Order Chunking	No Order Bundling	-74.20692393552486	400.0813168556976	Yes
26	Allow Order Reassignment	Allow Forced Order Completion	Store as soon as received	Orders are segmented	Allow Order Retry	Current: no notification	Granule-level order tracking	Link to user information	Order Chunking	No Order Bundling	-61.80136837996863	5562.2748624668475	Yes
27	Allow Order Reassignment	Current: not possible to force order completion	Store as soon as received	Orders are segmented	Allow Order Retry	User notified of failed order	Current: order level	Current: no link to user info	Order Chunking	No Order Bundling	-62.93470171330247	4269.7747242345695	Yes
28	Allow Order Reassignment	Allow Forced Order Completion	Store as soon as received	Orders are segmented	Allow Order Retry	Current: no notification	Granule-level order tracking	Current: no link to user info	Order Chunking	No Order Bundling	-61.856923935524634	5351.836984017707	Yes
29	Current: not possible to reassign order	Allow Forced Order Completion	Current: store when processed	Orders are segmented	Allow Order Retry	User notified of failed order	Current: order level	Current: no link to user info	Order Chunking	No Order Bundling	-69.97470171330235	900.1728127904515	Yes
30	Current: not possible to reassign order	Allow Forced Order Completion	Current: store when processed	Orders are segmented	Current: no order retry	Current: no notification	Current: order level	Current: no link to user info	Order Chunking	No Order Bundling	-73.80692393552437	400.1282753909083	Yes
31	Allow Order Reassignment	Allow Forced Order Completion	Store as soon as received	Current: no order segmentation	Allow Order Retry	User notified of failed order	Current: order level	Link to user information	Current: no oder chunking	No Order Bundling	-67.12359060219104	4480.330840932408	No
32	Allow Order Reassignment	Current: not possible to force order completion	Store as soon as received	Current: no order segmentation	Allow Order Retry	Current: no notification	Current: order level	Link to user information	Order Chunking	Order Bundling	-78.73627828987885	3980.2393449976457	No
33	Allow Order Reassignment	Allow Forced Order Completion	Store as soon as received	Current: no order segmentation	Current: no order retry	Current: no notification	Granule-level order tracking	Current: no link to user info	Current: no oder chunking	No Order Bundling	-70.956923935525	4951.755667162037	No
34	Allow Order Reassignment	Allow Forced Order Completion	Current: store when processed	Orders are segmented	Current: no order retry	Current: no notification	Granule-level order tracking	Link to user information	Current: no oder chunking	Order Bundling	-81.45627828987872	2192.6945850024777	No
35	Allow Order Reassignment	Allow Forced Order Completion	Current: store when processed	Current: no order segmentation	Allow Order Retry	User notified of failed order	Current: order level	Link to user information	Current: no oder chunking	Order Bundling	-83.69850051210112	1310.826861752654	No
36	Allow Order Reassignment	Allow Forced Order Completion	Store as soon as received	Orders are segmented	Allow Order Retry	User notified of failed order	Current: order level	Current: no link to user info	Order Chunking	Order Bundling	-72.66961162321205	4469.897981054406	No
37	Allow Order Reassignment	Allow Forced Order Completion	Current: store when processed	Current: no order segmentation	Current: no order retry	Current: no notification	Granule-level order tracking	Current: no link to user info	Current: no oder chunking	Order Bundling	-87.51183384543411	1782.2516879822385	No
