,Location Finding,File Sharing,Report Syncing,Chat Protocol,Map Access,Hardware Platform,Connectivity,Database,Architectural Pattern,Data Exchange Format,ENB,Risk,Optimal
1,radio triangulation,OpenIntent,Implicit,XMPP (Open Fire),Preloaded (ESRI),Droid (Motorola),Wifi,MySQL,Client-Server,Compressed XML,16.375340133939787,1.0,Yes
2,radio triangulation,OpenIntent,Implicit,In house,Cache on server,Droid (Motorola),Wifi,MySQL,Peer-to-peer,Compressed XML,15.005305663940812,0.9998,Yes
3,radio triangulation,OpenIntent,Implicit,In house,Cache on server,Droid (Motorola),Wifi,sqLite,Peer-to-peer,Compressed XML,14.872752088571357,0.9996,Yes
4,radio triangulation,OpenIntent,Implicit,In house,Cache on server,Droid (Motorola),3G on Droid,MySQL,Peer-to-peer,Compressed XML,14.959067425583454,0.9997,Yes
5,radio triangulation,OpenIntent,Implicit,In house,Cache on server,Droid (Motorola),3G on Droid,sqLite,Peer-to-peer,Compressed XML,14.826513850213964,0.9995,Yes
6,radio triangulation,OpenIntent,Implicit,In house,Cache on server,Droid (Motorola),Bluetooth,sqLite,Peer-to-peer,Compressed XML,14.75478629447655,0.9994,Yes
7,radio triangulation,OpenIntent,Implicit,In house,Preloaded (ESRI),Droid (Motorola),3G on Nexus I,MySQL,Peer-to-peer,Compressed XML,15.222401378800575,0.9999,Yes
8,radio triangulation,In house,Implicit,In house,Cache on server,Droid (Motorola),Wifi,MySQL,Peer-to-peer,Compressed XML,14.357888144705855,0.9992,Yes
9,radio triangulation,In house,Implicit,In house,Cache on server,Droid (Motorola),Wifi,sqLite,Peer-to-peer,Compressed XML,14.225334569336308,0.9977,Yes
10,radio triangulation,In house,Implicit,In house,Cache on server,Droid (Motorola),Bluetooth,MySQL,Peer-to-peer,Compressed XML,14.23992235061102,0.9983,Yes
11,radio triangulation,In house,Implicit,In house,Cache on server,Droid (Motorola),Bluetooth,sqLite,Peer-to-peer,Compressed XML,14.107368775241504,0.9965,Yes
12,radio triangulation,In house,Implicit,In house,Cache on server,Droid (Motorola),Bluetooth,sqLite,Push-based,Compressed XML,14.318092798845456,0.9988,Yes
13,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Wifi,MySQL,Peer-to-peer,XML,12.54628726575979,1.0,No
14,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Wifi,MySQL,Peer-to-peer,Compressed XML,12.63007652760825,1.0,No
15,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Wifi,MySQL,Peer-to-peer,Unformatted data,12.472353905131857,1.0,No
16,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Wifi,MySQL,Client-Server,XML,13.215147569100925,1.0,No
17,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Wifi,MySQL,Client-Server,Compressed XML,13.29893683094935,1.0,No
18,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Wifi,MySQL,Client-Server,Unformatted data,13.141214208472947,1.0,No
